1	100	0.5	0.0006
2	150	0.5	0.0071
3	200	0.5	0.0217
4	250	0.5	0.0498
5	280	0.5	0.0838
6	308	0.5	0.1427
7	285	1	0.1568
8	260	1	0.1590
9	235	1	0.1594
10	210	2	0.1596
11	230	2	0.1601
12	250	1	0.1611
13	270	1	0.1649
14	290	1	0.1772
15	310	1	0.2062
16	324	1	0.2393
17	339	1	0.2718
18	354	1	0.2964
19	369	1	0.3136
20	384	1	0.3245
21	399	1	0.3331
22	413	1	0.3417
23	428	1	0.3513
24	443	1	0.3613
25	458	1	0.3724
26	457	1	0.3790
27	458	1	0.3838
28	500	0.5	0.3858
29	530	0.5	0.3904
30	560	0.5	0.4018
31	590	0.5	0.4234
32	620	0.5	0.4526
33	650	0.5	0.4835
34	679	0.5	0.5079
35	709	0.5	0.5295
36	738	0.5	0.5538
37	768	0.5	0.5813
38	807	0.5	0.6250
39	847	0.5	0.6768
40	896	0.5	0.7487
41	995	0.5	0.8848
42	995	0.5	0.9257
43	1045	0.5	0.9710
44	1095	0.5	0.9962
