1	50	0.5	0.000029
2	100	0.5	0.001213
3	150	0.5	0.007203
4	175	0.5	0.012674
5	200	0.5	0.020614
6	225	0.5	0.032804
7	250	0.5	0.056335
8	275	0.5	0.103546
9	300	0.5	0.171668
10	280	1	0.188524
11	260	1	0.191731
12	240	1	0.192383
13	220	1	0.192522
14	250	1	0.193842
15	275	1	0.201622
16	300	1	0.229318
17	325	1	0.272462
18	350	1	0.299015
19	335	1	0.302307
20	320	1	0.303349
21	305	1	0.303744
22	290	1	0.303891
23	275	1	0.303941
24	260	2.5	0.303987
25	285	1	0.30408
26	310	1	0.304495
27	335	1	0.306335
28	360	1	0.312782
29	380	1	0.323993
30	400	1	0.340695
31	385	1	0.34553
32	370	1	0.347397
33	355	1	0.3482
34	340	1	0.348544
35	325	1	0.348679
36	300	3	0.348787
37	330	1	0.348952
38	360	1	0.349852
39	390	1	0.354218
40	415	1	0.367556
41	435	1	0.391994
42	455	1	0.425216
43	470	1	0.451904
44	455	1	0.460195
45	435	1	0.462863
46	415	1	0.463782
47	395	1	0.464119
48	380	2	0.464449
49	365	2	0.464603
50	385	2	0.464983
51	400	2	0.465744
52	420	2	0.467691
53	440	2	0.472436
54	455	2	0.480387
55	525	0.25	0.500595
56	575	0.25	0.542898
57	625	0.25	0.610121
58	675	0.25	0.685812
59	725	0.25	0.818215
